#Frame      Dih_00136,#Frame      Dih_00137,#Frame      Dih_00138,#Frame      Dih_00139,#Frame      Dih_00140
     304     -17.3270,     304       4.4120,     304       9.2282,     304     -19.4900,     304      22.2279
     305     -13.4023,     305      -4.7615,     305      19.3480,     305     -27.1449,     305      26.3231
     306     -14.0319,     306      -7.2451,     306      24.5600,     306     -34.6825,     306      30.3321
     307      -4.7989,     307      -9.8813,     307      18.8868,     307     -22.6525,     307      18.0743
     308      -8.4218,     308     -10.9050,     308      25.2194,     308     -31.5073,     308      26.3386
     309       6.2967,     309     -22.4539,     309      29.6895,     309     -26.4280,     309      13.5104
     310     -10.8547,     310      -9.4820,     310      23.8096,     310     -31.5977,     310      28.2002
     311       0.7106,     311     -20.1862,     311      31.8521,     311     -32.7917,     311      19.5325
     312      12.6942,     312     -28.7713,     312      30.6458,     312     -25.5938,     312       8.8637
     313      -6.6722,     313     -10.2191,     313      22.4250,     313     -28.0233,     313      21.6942
     314       9.6842,     314     -24.6029,     314      28.4098,     314     -22.8836,     314       8.8697
     315     -11.6319,     315      -4.0005,     315      17.0029,     315     -24.8956,     315      23.4689
     316      -9.2696,     316      -1.0863,     316       9.7206,     316     -16.9851,     316      16.6950
     317      -7.1860,     317      -8.3429,     317      20.1527,     317     -24.8613,     317      20.3310
     318       0.2347,     318     -18.9329,     318      29.0931,     318     -30.2882,     318      19.9518
